1.3,230362
1.3,280995
1.3,319805
1.3,346627
1.3,219465
1.3,262111
1.3,265549
1.3,272960
1.3,358256
1.3,292746
1.3,225311
1.3,285662
1.3,279961
1.3,238955
1.3,208616
1.3,347407
1.3,363322
1.3,285045
1.3,241170
1.3,276242
1.3,341626
1.3,379196
1.3,269788
1.3,363060
1.3,311683
1.3,351335
1.3,324028
1.3,269275
1.3,290630
1.3,334561
1.4,295809
1.4,254321
1.4,329880
1.4,359036
1.4,315605
1.4,358256
1.4,247116
1.4,200662
1.4,312838
1.4,202275
1.4,363322
1.4,297693
1.4,226689
1.4,362379
1.4,284637
1.4,363322
1.4,234171
1.4,300511
1.4,295809
1.4,310555
1.4,223422
1.4,315815
1.4,266384
1.4,316769
1.4,299696
1.4,331114
1.4,254694
1.4,379196
1.4,334561
1.4,300016
1.5,263662
1.5,270498
1.5,379196
1.5,294630
1.5,365206
1.5,307897
1.5,223422
1.5,363322
1.5,205545
1.5,289605
1.5,262932
1.5,283406
1.5,365206
1.5,333117
1.5,333897
1.5,364102
1.5,379196
1.5,331411
1.5,194938
1.5,334591
1.5,379196
1.5,364102
1.5,333414
1.5,379196
1.5,317494
1.5,308899
1.5,234949
1.5,342971
1.5,374130
1.5,381131
1.6,282174
1.6,311683
1.6,308899
1.6,223422
1.6,374130
1.6,217689
1.6,271032
1.6,299582
1.6,325752
1.6,308620
1.6,341626
1.6,204142
1.6,349332
1.6,257382
1.6,290743
1.6,257260
1.6,379196
1.6,292746
1.6,246395
1.6,347407
1.6,288932
1.6,396225
1.6,235028
1.6,298255
1.6,348228
1.6,249603
1.6,275649
1.6,379196
1.6,308620
1.6,347966
1.7,202275
1.7,278581
1.7,271812
1.7,379196
1.7,270327
1.7,315145
1.7,379196
1.7,341626
1.7,272354
1.7,293900
1.7,212768
1.7,347966
1.7,379196
1.7,269171
1.7,225290
1.7,363322
1.7,251061
1.7,292746
1.7,196182
1.7,374130
1.7,396225
1.7,319025
1.7,170111
1.7,325752
1.7,363322
1.7,348991
1.7,348228
1.7,374130
1.7,286423
1.7,319805
